Sentence,"Niveau 1 : 
Intention général ?","Niveau 2 : 
Quel objet médical ?","Niveau 3 : 
Présence de sentiment ?","Niveau 3 : 
Polarité ?",,
Apnée du sommeil | Forum Doctissimo | 03/04/2020,,,,,,
----------------------------------------------------------------------,,,,,,
"Bonjour,",fonction_phatique,,non,,,
Je suis un homme de 55 ans et appareillé depuis 3 ans d'un PPC.,partage_experience,symptome,non,,,
"Je ne sais pas si ma question est valable mais ne trouvant aucune réponse auprès de mon médecin et sur le NET, je me permets, toutefois de vous la poser.",partage_experience,symptome,non,,,
Peut-on imaginer que l'action de l'appareil PPC puisse avoir des effet secondaires du à la pression insuflée dans le corps?,recherche_information,traitement,non,,,
"En effet, je n'arrive pas a savoir pourquoi je me lève tous les matin avec des douleurs dans le corps, mais sur tout dans le dos ?",partage_experience,symptome,non,,,
"Ci-dessous, les actions déjà entreprises pour identifier les causes de ce constat :",partage_experience,traitement,non,,,
"Dormant habituellement sur le dos, je me suis contraint de dormir sur le côté.",partage_experience,traitement,non,,,
Résultat : Aucun changement,partage_experience,traitement,oui,negatif,,
Changement du matelas (en pensant que l'appareil PPC n'avait rien à voir).,partage_experience,traitement,non,,,
Résultat: Aucun changement,partage_experience,traitement,oui,negatif,,
"Arret, pendant 5 jours (au-delas, pas possible vis-à-vis de la sécu) de l'appareil PPC.",partage_experience,traitement,non,,,
Résultat: Les douleurs du réveil semblent s'estomper …,partage_experience,traitement,oui,positif,,
"Question général : Peut-on affirmer, sans détour, que l'appareil PPC ne peut en aucun cas générer de douleurs telles que je les ai décrites ?",recherche_information,traitement,non,,,
"Auquel cas, cela me permettrait d'évacuer ce doute et chercherais dans d'autres voies.",partage_experience,traitement,non,,,
"En vous remerciant par avance, pour votre réponse,",fonction_phatique,,non,,,
"Cordialement,",fonction_phatique,,non,,,
Paul,fonction_phatique,,non,,,
"Bonjour,",fonction_phatique,,non,,,
L'apparition de vos douleurs depuis l'appareillage sont certainement dues à un changement de position pour dormir en raison du masque.,partage_experience,diagnostique,non,,,
Je suis appareillée depuis maintenant 5 mois et j'ai une recrudescence de mes douleurs au niveau des cervicales et haut du dos.,partage_experience,symptome,oui,negatif,ARRET,
Je pense que je ne dors plus comme avant et peut être moins décontractée.,partage_experience,symptome,non,,,
Bon courage à vous,fonction_phatique,,non,,,
Hello,fonction_phatique,,non,,,
"cela fait 8ans que je suis appareillé (bipap), les seules douleurs que j'ai eues sont celles de l’œil (exophtalmie) dues aux fuites d'air.",partage_experience,traitement,non,,,
Pour le reste aucun problème.,partage_experience,traitement,non,,,
"Bonjour, je suis appareillé depuis 1998.",partage_experience,traitement,non,,,
"Il n'y a aucun effet secondaire, j'arrive à oublier la machine, je dors dans toutes les positions et ce n'est que du bonheur lorsque l'on arrive à trouver le bon réglage de l'humidificateur d'eau lors du changement de saison.",partage_experience,traitement,non,,,
Vive la machine.,fonction_phatique,,non,,,
"Bonjour,",fonction_phatique,,non,,,
Votre post m’a rassuré car visiblement je ne suis pas le seul dans ce cas.,partage_experience,symptome,oui,positif,,
"Équipé depuis plusieurs années avec un appareil PPC, j ai commencé à ressentir des douleurs lombaires très fortes en fin de nuit (suffisamment forte pour me réveiller chaque jour à 4 heures du matin).",partage_experience,symptome,non,,,
"Changement de matelas, six mois de kinésithérapie pour un résultat nul.",partage_experience,traitement,non,,,
"Après l’arret de la machine, les douleurs ont rapidement disparues donc pour moi il est évident qu’il y a un lien de cause à effet.",partage_experience,symptome,non,,,
"Dommage collatéral, je me lève de nouveau épuisé depuis l’arret.",partage_experience,symptome,non,,,
Mon pneumologue m’oriente aujourd’hui vers une solution d’orthèse mandibulaire.,partage_experience,traitement,non,,,
A suivre donc (six mois d’attente pour un rendez-vous alors même que j’habite une grande métropole)...,partage_experience,traitement,oui,negatif,,
"Cordialement,",fonction_phatique,,non,,,
Salut à tous!,fonction_phatique,,non,,,
"D'abord je tiens à m'excuser si ce sujet a déjà été abordé ou s'il s'avère être hors-sujet, mais je ne savais pas trop où poster.",recherche_information,symptome,non,,,
"Je suis une fille de 17 ans en plutôt bonne santé, or je rencontre depuis peu un problème lorsque je m'endors.",recherche_information,symptome,non,,,
"Je ferme les yeux, commence à m'endormir, et je me réveille 5 ou 10 secondes après avec l'impression d'avoir arrêté de respirer, et le coeur qui bat, avec parfois au fur et à mesure une petite douleur qui s'installe dans la poitrine.",partage_experience,symptome,non,,,
"J'ai de véritables insomnies à cause de ça, et ce malgré les huiles essentielles que je peux utiliser pour me détendre.",partage_experience,traitement,non,,,
Cela ne m'arrive que très rarement.,partage_experience,symptome,non,,,
"En 6 mois, j'ai eu ce problème environ 5 fois, mais j'ai peur que cela s'intensifie.",partage_experience,symptome,oui,negatif,,
"Je ne sais pas comment interpréter ça, et vivant dans un pays reculé je ne trouve pas de bons médecins à qui en parler.",recherche_information,traitement,non,,,
Est-ce que quelqu'un pourrait m'éclairer sur ce sujet?,recherche_information,traitement,non,,,
ta la même chose que moi il faut que tu dort avec une machine(une sipape) c'est la seul solution je pense .,partage_experience,diagnostique,non,,,
"Bonsoir,",fonction_phatique,,non,,,
Cela m´arrive depuis une semaine.,partage_experience,symptome,non,,,
"Et de plus, je fais des malaises (vertiges pouvant aller jusqu´à l´évanouissement en journée).",partage_experience,symptome,non,,,
Avez vous des nouvelles informations sur ce type d´apnée du sommeil?,recherche_information,traitement,non,,,
est ce du au stress?,recherche_information,traitement,non,,,
Merci.,fonction_phatique,,non,,,
NM31,,,,,,
J'ai la même chose et c'est paniquant totalement quand ça se produit.,partage_experience,symptome,oui,negatif,,
[smileyper​so,,,,,,
"Pour ma part je vais voir mon doc au milieu avril, je vais lui en parler.",partage_experience,traitement,non,,,
Consommez-vous beaucoup de produits avec de la caféine?,recherche_information,symptome,non,,,
"chocolat, café, etc.?",recherche_information,symptome,non,,,
Et des aliments gras?,recherche_information,symptome,non,,,
"Vous dormez sur le dos, le ventre ou le côté.",recherche_information,symptome,non,,,
"Dormir sur le dos favorise l'apnée du sommeil, à ce que j'ai entendu.",partage_experience,diagnostique,non,,,
"bonsoir, il faut en parler à son médecin traitant et lui expliquer les symptômes.",partage_experience,diagnostique,non,,,
"pour une suspicion d'apnées du sommeil il faut consulter un pneumo, neuro ou orl (qui fait du sommeil car ils ne le font pas tous pour ce dernier).",partage_experience,diagnostique,non,,,
il posera des questions pour faire un diagnostique et après effectuera une polygraphie ou polysomnographie si besoin.,partage_experience,diagnostique,non,,,
"s'il y a des apnées en nombre, soit il décide de mettre une ppc soit une orthèse mandibulaire.",partage_experience,diagnostique,non,,,
Si tu dort sur le dos ça peut être ta langue qui obstrue les voies aériennes internes car quand tu es sur le dos et que tu es détendu complétement alors ta langue tombe au début de ta gorge.,partage_experience,diagnostique,non,,,
Essaye de dormir sur le côté ça marchera si ça ne marche pas alors je ne sais pas ce que c'est.,partage_experience,diagnostique,non,,,
"Salut, j' ai le meme probleme depuis des années, j'ai consulte mon medecin qui m'a envoyé vers un spécialiste du sommeil.",partage_experience,traitement,non,,,
"Il m a fait faire un test a l'effort, il en ai ressorti qu il ne s'agissait pas d'apnee du sommeil mais certainement d'un probleme d'hygiène de vie et de stress: tabac, café, alimentation grasse, manque de sport, etc....",partage_experience,diagnostique,non,,,
"La 1ère phase d'endormissement, le passage de l'eveil a l'endormissement est plus complique car pendant cette période, nos muscles se relâche et surtout le rythme cardiaque ralenti.",partage_experience,diagnostique,non,,,
"Lors d'une période de stress ou de tension, cette phase est parfois trop brutale du coup sa provoque se réveil en sursaut, comme si une alarme dans le cerveau nous disait de se reveiller avant de crever.",partage_experience,diagnostique,non,,,
Mais c moins grav que ça n'y parait.,partage_experience,diagnostique,non,,,
Il faut juste adopter une hygiène de vie un peu plus saine.,partage_experience,traitement,non,,,
"Moi ça va m'arrive beaucoup moins souvent, et qd ça m'arrive, c a chaque fois pendant une période ou je vai justement etre en manque de sommeil, de stress, ou je fume trop sans faire de sport.",partage_experience,symptome,non,,,
JE ne pense pas que ce soit de l'apnée du sommeil.,partage_experience,diagnostique,non,,,
Es-tu en surpoid ?,recherche_information,symptome,non,,,
Consulte quand même si cela te pose un problème car ce n'est pas normal d'avoir du mal à trouver le sommeil à 17 ans,partage_experience,traitement,non,,,
"Bonjour, j'ai le même phénomène que vous !",partage_experience,symptome,non,,,
"par contre, je ne fume pas, ne boit pas d'alcool.",partage_experience,symptome,non,,,
"Je prend du café, mais raisonnablement.",partage_experience,symptome,non,,,
"Je fais pas trop de sport, mais je marche quand même un peu.",partage_experience,symptome,non,,,
"Il y a des grandes périodes ou je n'ai pas du tout ce problème et comme cette semaine, cela m'est arrivé 2 fois ou je n'arrive pas à dormir jusqu'au milieu de la nuit.",partage_experience,symptome,non,,,
"A chaque fois, cela me réveil en sursaut, le coeur qui bat à tout rompre et je l'entend même dans les oreilles.",partage_experience,symptome,non,,,
"De plus, je ressent comme une sensation d'angoisse, je n'ai mal nul part, mais c'est juste un sensation désagréable.",partage_experience,symptome,non,,,
"J'ai effectivement quelques kilo à perdre, mais je pense que si c'était lié à l’hygiène de vie, ça serait toutes les nuits!",partage_experience,symptome,non,,,
"Je me demandais, si cela ne pouvait pas être aussi lié à des soucis, par exemple de travail, couple ect..",partage_experience,symptome,non,,,
"Bonjour, même problème avec une petite cerise sur le gâteau : les sédatifs légers aggravent le problème.",partage_experience,traitement,non,,,
Je me permets de citer une personne sur doctissimo il y a 5 ans :,partage_experience,symptome,non,,,
"""Mon cas : apnées centrales à l'endormissement.",partage_experience,symptome,non,,,
"Je m'endors et je m'arrête de respirer, je me réveille, m'endors et arrête de respirer...",partage_experience,symptome,non,,,
"Puis, après 5 mois plus qu'horribles, épuisement total, la solution, d'une simplicité tellement incroyable que beaucoup ne me croiront pas.",partage_experience,symptome,non,,,
"Après un article en anglais sur un site américain, je m'intéresse aux échange gazeux et à leur rôle sur le cerveau pour contrôler la respiration pendant qu'on dort.",partage_experience,traitement,non,,,
"Pour faire simple, en trois jours, c'était terminé.",partage_experience,traitement,non,,,
"J'ai simplement contrôlé ma respiration, en la ralentissant et en évitant d'expirer sans arrêt (ce que le stress me faisait faire inconsciemment auparavant).",partage_experience,traitement,non,,,
"Respiration lente et contrôlée au maximum pendant deux-trois jours et mon cauchemar s'est arrêté.""",partage_experience,traitement,oui,positif,,
"Bonjour,",fonction_phatique,,non,,ARRET,
"Je fais des apnées du sommeil depuis un certain temps, je suis appareillé avec un masque nasal et depuis le mois de septembre au moment de m’endormir lorsque je fais la sieste ou le soir au coucher, j’ai la sensation d’étouffée, cela m’arrive une dizaine de fois avant de m’endormir, ensuite je dors très bien et n’es plus cette sensation.",partage_experience,symptome,oui,negatif,,
"Je suis retournais voir mon pneumologue qui a été très surpris de ce phénomène, il m’a conseillé de mettre un masque facial, ce que j’ai fait.",partage_experience,traitement,non,,,
"Au début cela allait très bien, mais cette sensation d’étouffement à l’endormissement est réapparue, c’est très désagréable car on a l’impression que l’on va mourir.",partage_experience,symptome,oui,negatif,,
Mon pneumologue ne trouve pas de solution et mon médecin traitant me dit que ce n’est pas grave.,partage_experience,diagnostique,non,,,
Mais maintenant quand je mets mon masque j’appréhende.,partage_experience,symptome,oui,negatif,,
Quelqu’un aurait-il déjà vécu cette sensation et aurait-il une solution.,recherche_information,diagnostique,non,,,
Merci de votre aide.,fonction_phatique,,non,,,
